裝置名稱,裝置編號,裝置位置,測量時間,溫度,溫度異常,濕度,濕度異常,溫度補償,濕度補償,電池電量
Frank,170414,機房,"01/15/2022, 18:14:45",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:14:34",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:14:34",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:14:23",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:14:23",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:14:13",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:14:13",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:14:02",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:14:02",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:13:52",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:13:51",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:13:41",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:13:41",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:13:30",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:13:30",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:13:20",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:13:20",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:13:09",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:13:09",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:12:58",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:12:58",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:12:48",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:12:48",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:12:37",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:12:37",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:12:26",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:12:26",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:12:16",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:12:16",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:12:05",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:12:05",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:11:54",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:11:54",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:11:44",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:11:44",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:11:33",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:11:33",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:11:23",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:11:22",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:11:12",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:11:12",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:11:01",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:11:01",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:10:51",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:10:51",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:10:40",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:10:40",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:10:29",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:10:29",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:10:19",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:10:19",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:10:08",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:10:08",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:09:58",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:09:58",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:09:47",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:09:47",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:09:37",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:09:37",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:09:26",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:09:26",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:09:15",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:09:15",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:09:05",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:09:05",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:08:54",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:08:54",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:08:43",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:08:43",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:08:33",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:08:33",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:08:22",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:08:22",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:08:12",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:08:12",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:08:01",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:08:01",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:07:50",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:07:50",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:07:40",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:07:40",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:07:29",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:07:29",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:07:19",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:07:19",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:07:08",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:07:08",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:06:57",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:06:57",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:06:47",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:06:47",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:06:36",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:06:36",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:06:25",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:06:25",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:06:15",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:06:15",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:06:04",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:06:04",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:05:54",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:05:54",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:05:43",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:05:43",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:05:32",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:05:32",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:05:22",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:05:22",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:05:11",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:05:11",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:05:01",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:05:01",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:04:50",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:04:50",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:04:39",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:04:39",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:04:29",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:04:29",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:04:18",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:04:18",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:04:07",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:04:07",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:03:57",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:03:57",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:03:46",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:03:46",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:03:36",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:03:36",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:03:25",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:03:25",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:03:14",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:03:14",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:03:04",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:03:04",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:02:53",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:02:53",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:02:42",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:02:42",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:02:31",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:02:31",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:02:21",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:02:21",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:02:10",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:02:10",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:02:00",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:02:00",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:01:49",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:01:49",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:01:38",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:01:38",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:01:28",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:01:28",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:01:17",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:01:17",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:01:07",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:01:07",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:00:56",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:00:56",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:00:45",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:00:45",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:00:35",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:00:35",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:00:24",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:00:24",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:00:14",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:00:14",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 18:00:03",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 18:00:03",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:59:52",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:59:52",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:59:42",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:59:42",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:59:31",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:59:31",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:59:21",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:59:21",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:59:10",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:59:10",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:58:59",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:58:59",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:58:49",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:58:49",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:58:38",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:58:38",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:58:28",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:58:28",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:58:17",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:58:17",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:58:06",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:58:06",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:57:56",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:57:56",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:57:45",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:57:44",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:57:34",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:57:34",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:57:23",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:57:23",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:57:13",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:57:13",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:57:02",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:57:02",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:56:51",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:56:51",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:56:41",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:56:41",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:56:30",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:56:30",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:56:19",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:56:19",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:56:09",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:56:09",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:55:58",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:55:58",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:55:48",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:55:47",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:55:37",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:55:37",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:55:26",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:55:26",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:55:16",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:55:16",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:55:05",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:55:05",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:54:55",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:54:55",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:54:44",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:54:44",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:54:33",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:54:33",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:54:23",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:54:23",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:54:12",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:54:12",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:54:02",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:54:02",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:53:51",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:53:51",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:53:40",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:53:40",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:53:30",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:53:30",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:53:19",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:53:19",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:53:09",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:53:08",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:52:58",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:52:58",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:52:47",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:52:47",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:52:37",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:52:37",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:52:26",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:52:26",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:52:15",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:52:15",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:52:05",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:52:05",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:51:54",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:51:54",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:51:44",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:51:44",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:51:33",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:51:33",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:51:23",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:51:22",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:51:12",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:51:12",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:51:01",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:51:01",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:50:51",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:50:51",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:50:40",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:50:40",-255,異常,-255,異常,0,0,-1%
Dave,170436,機房,"01/15/2022, 17:50:30",-255,異常,-255,異常,0,0,-1%
Frank,170414,機房,"01/15/2022, 17:50:29",-255,異常,-255,異常,0,0,-1%
